Full Name,Overall,Potential,Value(in Euro),Age
Dwight McNeil,76,81,11500000,22
Alejandro Catena Marugán,76,78,8000000,27
Jovane Eduardo Borges Cabral,76,82,12000000,24
Arnaud Kalimuendo,76,82,12000000,20
Robin Zentner,76,78,7000000,27
Anton Stach,76,82,12000000,23
Christian Nørgaard,76,76,6500000,28
Franco Vázquez,76,76,4700000,33
Adam Webster,76,79,8500000,27
Roger Martí Salvador,76,76,6500000,31
Ryan Fraser,76,76,7500000,28
Bertrand Traoré,76,76,8000000,26
Paulo Otávio Rosa da Silva,76,76,7000000,27
Andreas Hugo Hoelgebaum Pereira,76,79,10000000,26
Johan Gastien,76,76,2600000,34
Florent Mollet,76,76,7000000,30
Eugenio Mena,76,76,3900000,33
André Ramalho Silva,76,76,6000000,30
Ahmed Hegazi,76,76,5000000,31
Casper Nielsen,76,76,7500000,28
Joe Hart,76,76,825000,35
Morgan Sanson,76,76,8000000,27
Guillermo Fernández,76,76,7000000,30
Daniele Rugani,76,77,7500000,27
Danilo Cataldi,76,77,7500000,27
Mohamed Elneny,76,76,6500000,29
Neal Maupay,76,78,9500000,25
Przemysław Frankowski,76,77,8000000,27
Roberto Gagliardini,76,76,6500000,28
Brandon Mechele,76,77,7000000,29
Dominik Kohr,76,77,7000000,28
Ricardo Sousa Esgaio,76,76,6500000,29
Hugo Ekitike,76,85,16500000,20
Andriy Pyatov,76,76,825000,38
Renato Steffen,76,76,7000000,30
Franck Ribéry,76,76,2600000,39
Diego da Silva Costa,76,76,4800000,33
Kristijan Jakić,76,79,9000000,25
Lucas Biglia,76,76,1500000,36
João Victor da Silva Marcelino,76,84,15500000,23
Castello Lukeba,76,86,15000000,19
Rodolfo Cota,76,76,0,34
Ömer Toprak,76,76,4900000,32
Maxi Moralez,76,76,3100000,35
Simon Terodde,76,76,3600000,34
Víctor David Díaz Miguel,76,76,2400000,34
Mamadou Sakho,76,76,4900000,32
Max-Alain Gradel,76,76,3500000,34
Séamus Coleman,76,76,3900000,33
Ivan Ilić,76,86,17000000,21
Radja Nainggolan,76,76,3500000,34
Fraser Forster,76,76,1300000,34
Ruud Vormer,76,76,3500000,34
Fabio Quagliarella,76,76,2600000,39
Radamel Falcao García Zarate,76,76,2600000,36
Lorenzo De Silvestri,76,76,2800000,34
Tim Krul,76,76,1300000,34
Yeimar Gómez Andrade,76,76,6000000,30
Héctor Moreno,76,76,0,34
Juan Manuel Mata García,76,76,3500000,34
Stefano Okaka,76,76,6000000,32
Miguel Luís Pinto Veloso,76,76,2400000,36
Vedat Muriqi,75,75,6000000,28
Craig Goodwin,75,75,5500000,30
Heinz Lindner,75,75,3000000,31
Jamaal Lascelles,75,76,5500000,28
Jeffrey Gouweleeuw,75,75,4600000,30
Florian Kainz,75,75,5500000,29
Daniel Caligiuri,75,75,2600000,34
Aihen Muñoz Capellán,75,80,8000000,24
Joel Graterol,75,81,7000000,25
Michal Sadílek,75,80,8000000,23
Marko Pjaca,75,76,6500000,27
Ignacio Vidal Miralles,75,76,6000000,27
Bruno Xavier Almeida Costa,75,79,8000000,25
José Pedro Fuenzalida,75,75,1800000,37
Peter Olayinka,75,76,6500000,26
Benno Schmitz,75,75,5500000,27
Simon Banza,75,78,7500000,25
Dorukhan Toköz,75,78,7500000,26
Josuha Guilavogui,75,75,3900000,31
Eduardo Expósito Jaén,75,78,7500000,25
Tino Livramento,75,85,11500000,19
Jefferson Lerma,75,75,5500000,27
Marek Rodák,75,80,6500000,25
Sebastiaan Bornauw,75,81,8000000,23
Fernando Martínez Rubio,75,75,2800000,32
Omar Colley,75,75,4700000,29
Charlie Taylor,75,75,5000000,28
Nicolas Höfler,75,75,3700000,32
Sven Ulreich,75,75,1800000,33
Dejon Cockburn,75,75,6000000,27
Bartłomiej Drągowski,75,78,6000000,24
Cristian Guanca,75,75,5500000,29
Álvaro Aguado Méndez,75,78,7500000,26
Pedro Filipe Barbosa Moreira,75,75,5500000,29
Kortney Hause,75,77,6000000,26
Valentino Lazaro,75,76,6000000,26
Petar Stojanović,75,78,7000000,26
Samuele Birindelli,75,83,12000000,22
Leonel Miranda,75,75,5500000,28
Karim Adeyemi,75,87,13500000,20
Rubén Salvador Pérez del Mármol,75,75,2800000,33
Rodrigo Ely,75,75,4800000,28
Tom O'Brien,75,78,5500000,27
Stefan Bell,75,75,4600000,30
Andreas Cornelius,75,75,5500000,29
Felix Uduokhai,75,79,7000000,24
Mady Camara,75,80,8000000,25
Iván Marcano Sierra,75,75,1500000,35
Ozzie Kukoč,75,82,11500000,22
Jesus Fabrício Andrade Simões,75,75,4800000,30
Jimmy Cabot,75,75,5500000,28
Rubens Jairo Freitosa Costa,75,75,1800000,38
Marcos Paulo Mesquita Lopes,75,76,6500000,26
Lewis Morgan,75,77,7000000,25
Bernard Anício Caldeira Duarte,75,75,5500000,29
Alberth Elis,75,78,7500000,26
Ugo Babatunde,75,75,4600000,30
Aaron Hickey,75,85,12000000,20
Iddrisu Baba,75,80,7500000,26
Tariq Lamptey,75,83,12000000,21
Noah Okafor,75,83,12500000,22
Enzo Le Fée,75,82,11500000,22
Jérémy Doku,75,85,12500000,20
Francisco José García Torres,75,83,12000000,22
Aihen Muñoz Capellán,75,80,8000000,24
Amos Pieper,75,79,7000000,24
Odilon Kossounou,75,84,12000000,21
Robert Rojas,75,76,6000000,26
Jacob Ramsey,75,85,12500000,21
Alex Král,75,80,8000000,24
Petr Ševčík,75,75,5500000,28
Francisco José Navarro Aliaga,75,80,8500000,24
Agustín Palavecino,75,76,6500000,25
Jon Moncayola Tollar,75,81,9000000,24
Nathan Collins,75,82,10500000,21
Aaron Hickey,75,85,12000000,20
Joel Graterol,75,81,7000000,25
Jean Lucas de Souza Oliveira,75,80,8500000,24
Brennan Johnson,75,85,12500000,21
Samuel Dias Lino,75,83,12500000,22
Karim Adeyemi,75,87,13500000,20
Daniel Santos Bragança,75,84,12500000,23
Alan Velasco,75,85,12000000,19
Tiago Emanuel Embaló Djaló,75,82,10500000,22
Luka Ivanušec,75,82,11500000,23
Matías Viña,75,78,7000000,24
Lukáš Provod,75,80,8000000,25
Luke Thomas,75,80,8000000,21
Mykhailo Mudryk,75,85,12500000,21
Vítor Tormena de Farias,75,78,6500000,26
Silas Katompa Mvumpa,75,82,11500000,23
Teddy Teuma,75,75,5500000,28
Sebastiaan Bornauw,75,81,8000000,23
Ricard Puig Martí,75,83,12500000,22
Leonardo Balerdi,75,81,8000000,23
Anthony Gordon,75,84,12500000,21
Bryan Mbeumo,75,81,9000000,22
Loïs Openda,75,83,12500000,22
Yacine Adli,75,82,11500000,21
Djed Spence,75,84,12000000,21
Andriy Lunin,75,84,11000000,23
Daniel-Kofi Kyereh,75,78,7500000,26
Nehuén Pérez,75,82,10500000,22
Uroš Račić,75,80,8500000,24
Georgiy Bushchan,75,78,5000000,28
Jesper Lindstrøm,75,84,12500000,22
Léandre Tawamba,75,75,4600000,32
Pavel Bucha,75,79,8000000,24
Bruno Xavier Almeida Costa,75,79,8000000,25
Santiago Giménez,75,84,12500000,21
Michal Sadílek,75,80,8000000,23
Toma Bašić,75,80,8000000,25
Ersin Destanoğlu,75,81,7500000,21
Marash Kumbulla,75,82,10500000,22
Pietro Beruatto,75,81,8500000,23
Kyogo Furuhashi,75,75,6000000,27
Carlos Cáceda,75,75,3700000,30
Georginio Rutter,75,85,12500000,20
Jon Moncayola Tollar,75,81,9000000,24
Michael Ngadeu,75,75,3800000,31
Orel Mangala,75,80,8500000,24
Francisco Pizzini,75,75,5500000,28
Jonas Martin,75,75,4400000,32
Dimitrios Pelkas,75,75,5500000,28
Luca Waldschmidt,75,78,7500000,26
Alberto Brignoli,75,75,3700000,30
Tarek Hamed,75,75,2800000,33
Unai López Cabrera,75,78,7500000,26
Adam Buksa,75,77,7000000,25
Álvaro González Soberón,75,75,3600000,32
Anthony Lozano,75,75,5500000,29
Stefan Posch,75,79,7000000,25
Djordje Mihailovic,75,81,9000000,23
Samuel Castillejo Azuaga,75,75,6000000,27
Jean-Louis Leca,75,75,625000,36
Silas Katompa Mvumpa,75,82,11500000,23
André Ayew,75,75,0,32
Cristian Lema,75,75,3600000,32
José María Callejón Bueno,75,75,2300000,35
Oscar Dorley,75,81,8500000,23
Jordan Lotomba,75,79,7500000,23
Malang Sarr,75,79,7000000,23
Perr Schuurs,75,82,10500000,22
José Ángel Valdés Díaz,75,75,3900000,32
Salvador Sevilla López,75,75,1100000,38
Daniel Clayton Fachini Lobato,75,75,1900000,34
Ko Itakura,75,80,7500000,25
Jean-Ricner Bellegarde,75,80,8500000,24
Borja González Tomás,75,75,5500000,29
Will Hughes,75,76,6500000,27
Viktor Claesson,75,75,5500000,30
Sergio Escudero Palomo,75,75,3900000,32
Joshua Eduardo Sá Madeira,75,75,5500000,26
Julien De Sart,75,76,6500000,27
Lucas Janson,75,75,6000000,27
Lucas Tousart,75,80,7500000,25
Jean-Philippe Gbamin,75,75,5500000,26
Christian Cueva,75,75,5500000,30
Nathan Collins,75,82,10500000,21
Calum Chambers,75,76,5500000,27
Harrison Reed,75,77,6000000,27
Enrique García Martínez,75,75,4600000,32
Marvin Ducksch,75,75,6000000,28
Maximilian Wittek,75,76,6000000,26
Dimitri Foulquier,75,75,4900000,29
Tiago Emanuel Embaló Djaló,75,82,10500000,22
Benoît Costil,75,75,950000,34
Bafétimbi Gomis,75,75,1900000,36
Yacine Adli,75,82,11500000,21
Uílson de Souza Paula Júnior,75,75,2900000,33
Gabriel Tadeu Strefezza Rebelato,75,78,7500000,25
Uriel Antuna,75,77,0,24
Elseid Hysaj,75,75,5000000,28
Ibrahima Sissoko,75,79,8000000,24
Marash Kumbulla,75,82,10500000,22
Yvon Mvogo,75,78,5000000,28
Kaíque Osvaldo Castro Rodrigues,75,75,4500000,26
Asmir Begović,75,75,625000,35
Martin Valjent,75,80,7500000,26
Alberto Moleiro González,75,90,13000000,18
David Turnbull,75,82,11500000,22
Santiago Comesaña Veiga,75,81,8000000,25
Michel Aebischer,75,78,7500000,25
Anthony Caci,75,80,7500000,25
Eduard Atuesta,75,82,0,25
Aarón Martín Caricol,75,78,7000000,25
Alberth Elis,75,78,7500000,26
Alam Cristian Lindeiro Couto,75,75,5500000,26
Morgan Gibbs-White,75,83,12500000,22
Gabriel Tadeu Strefezza Rebelato,75,78,7500000,25
Ryan Sessegnon,75,83,12000000,22
Pol Mikel Lirola Kosok,75,80,8000000,24
Andrea Pinamonti,75,80,8500000,23
Michele Di Gregorio,75,80,7000000,24
Guus Til,75,78,7500000,24
Juan Camilo Hernández Suárez,75,80,8500000,23
Victor Nelsson,75,81,8000000,23
Dennis Geiger,75,80,8500000,24
Jean-Ricner Bellegarde,75,80,8500000,24
Malang Sarr,75,79,7000000,23
Jhon Mosquera,75,75,4500000,32
Pedro Filipe Barbosa Moreira,75,75,5500000,29
Dimitri Liénard,75,75,2100000,34
Jean Paulo Fernandes Filho,75,78,5500000,26
Antonio Martínez López,75,80,8500000,25
Yoane Wissa,75,76,6500000,25
Jordan Lotomba,75,79,7500000,23
Domilson Cordeiro dos Santos,75,84,12000000,23
Samuele Birindelli,75,83,12000000,22
Joe Willock,75,84,12500000,22
James McArthur,75,75,1900000,34
Masaya Okugawa,75,77,7000000,26
Robin Olsen,75,75,2800000,32
Cesar Fernando Silva Melo,75,75,4500000,32
Perr Schuurs,75,82,10500000,22
Mohamed Bayo,75,80,8500000,24
Jawad El Yamiq,75,75,4600000,30
David Martínez,75,78,7000000,24
Héctor Junior Firpo Adamés,75,78,7000000,25
Youcef Atal,75,78,7000000,26
Carles Pérez Sayol,75,78,7500000,24
Paulo Henrique Sampaio Filho,75,81,9000000,21
Eldor Shomurodov,75,76,6500000,27
Myron Boadu,75,83,12500000,21
Kai Wagner,75,79,7000000,25
Kiernan Dewsbury-Hall,75,80,8500000,23
Mitchel Bakker,75,81,8500000,22
Wilson Miguéis Manafá Jancó,75,75,5500000,27
Ethan Pinnock,75,75,4700000,29
Rodrigo Nascimento França,75,78,6500000,26
Ruben Vargas,75,81,9000000,23
Michael Richard Delgado de Oliveira,75,76,6500000,26
Ignacio Vidal Miralles,75,76,6000000,27
Uriel Antuna,75,77,0,24
Kevin Danso,75,80,7500000,23
Daniel Muñoz,75,76,6000000,26
Mady Camara,75,80,8000000,25
Djordje Mihailovic,75,81,9000000,23
Albert Sambi Lokonga,75,83,12500000,22
Joshua Eduardo Sá Madeira,75,75,5500000,26
Ben Brereton Díaz,75,82,11500000,23
Nicolás González Iglesias,75,85,12500000,20
Warmed Omari,75,82,10500000,22
Adrien Truffert,75,84,12000000,20
Josip Šutalo,75,84,12000000,22
Facundo Farías,75,85,12000000,19
Armando Broja,75,85,12500000,20
Kamaldeen Sulemana,75,85,12500000,20
Nicolò Rovella,75,88,13500000,20
Cristian Roldan,75,75,6000000,27
Oscar Dorley,75,81,8500000,23
Melvin Bard,75,82,11000000,21
Jesús Gallardo,75,75,0,27
Maximilian Eggestein,75,76,6000000,25
Alejandro Romero Gamarra,75,75,6000000,27
Omar Colley,75,75,4700000,29
Gonçalo Matias Ramos,75,85,12500000,21
Tiago B. de Melo Tomás,75,82,11000000,20
Arthur Theate,75,82,10500000,22
João Mário Neto Lopes,75,84,12000000,22
Ansgar Knauff,75,83,12500000,20
Josip Juranović,75,76,6000000,26
Nicolas Seiwald,75,84,12500000,21
Ondřej Lingr,75,80,8500000,23
Kerem Aktürkoğlu,75,81,9000000,23
Malo Gusto,75,85,11500000,19
Gabriel Veron Fonseca de Souza,75,87,13500000,19
Alan Varela,75,85,11500000,20
Myrto Uzuni,75,75,6000000,27
Tino Livramento,75,85,11500000,19
Aleš Mandous,75,75,3700000,30
Ivan Schranz,75,75,5500000,28
Jakub Pešek,75,75,5500000,29
Takumi Minamino,75,76,6500000,27
Florian Sotoca,75,75,4800000,31
Pascoal Simão Muscato Vieira,75,75,4700000,30
Leôncio Roger Vimieiro Madeira,75,75,5500000,26
Simão Alvin Donatinho Garcia,75,75,4500000,26
Enaldo Diogo Barbosa Prazeres,75,75,1200000,38
Alexandre Jonas Santos Fernandes,75,75,3700000,30
Jailson Michel Caeiro Meireles,75,75,4800000,30
Kaíqundo Calado Dimas,75,75,5500000,26
Estevão Danilo Candeira Inácio,75,75,5500000,26
Jorgino Silas Ruiz Prestes,75,75,4700000,30
Lucas Tousart,75,80,7500000,25
Cristian Also Laranjeiro Sá,75,75,4600000,30
Kaíque Osvaldo Castro Rodrigues,75,75,4500000,26
Daniel Clayton Fachini Lobato,75,75,1900000,34
Jesus Fabrício Andrade Simões,75,75,4800000,30
Rubens Jairo Freitosa Costa,75,75,1800000,38
Davi Alexandre Parrela Ferreira,75,75,6000000,22
Pierre Lees-Melou,75,75,5500000,29
Tom Davies,75,78,7500000,24
Fabien Centonze,75,78,7000000,26
Eduardo Expósito Jaén,75,78,7500000,25
Alexander Barboza,75,78,6500000,27
Bryan Heynen,75,80,8000000,25
Marko Pjaca,75,76,6500000,27
Antonio Villa Suárez,75,75,6000000,27
Waldemar Anton,75,78,6500000,25
Thomas Ouwejan,75,78,7000000,25
Thembinkosi Lorch,75,75,5500000,28
Kevin Vázquez Comesaña,75,75,4900000,29
Leonardo Godoy,75,76,6000000,27
Josh Cullen,75,78,6500000,26
Sander Berge,75,81,8000000,24
Cristian Guanca,75,75,5500000,29
Lukáš Haraslín,75,76,6500000,26
Soufiane Rahimi,75,76,6500000,26
Alberto Moleiro González,75,90,13000000,18
Federico Gatti,75,81,8000000,24
Pontus Jansson,75,75,3800000,31
Vincent Aboubakar,75,75,5500000,30
Paweł Dawidowicz,75,78,6500000,27
Connor Goldson,75,76,5000000,29
Soufiane Rahimi,75,76,6500000,26
Teemu Pukki,75,75,4600000,32
Agustín Palavecino,75,76,6500000,25
Andreas Luthe,75,75,625000,35
Tom O'Brien,75,78,5500000,27
Domenico Criscito,75,75,1500000,35
Tosin Adarabioyo,75,82,10500000,24
Cristian Also Laranjeiro Sá,75,75,4600000,30
Alex Iwobi,75,76,6500000,26
Alfred Duncan,75,75,5500000,29
Felipe Caicedo,75,75,3600000,33
Fábio Rafael Rodrigues Cardoso,75,77,5500000,28
Mohamed Bayo,75,80,8500000,24
Pablo Aguilar,75,75,1500000,35
Cédric Ricardo Alves Soares,75,75,4800000,30
Maximilian Wöber,75,80,7500000,24
Bruno Petković,75,75,6000000,27
Rolando Mandragora,75,79,8000000,25
Denis Bouanga,75,75,6000000,27
Florian Sotoca,75,75,4800000,31
Álvaro Aguado Méndez,75,78,7500000,26
Santiago Giménez,75,84,12500000,21
Ondřej Lingr,75,80,8500000,23
Tiemoué Bakayoko,75,76,6000000,27
Amine Harit,75,78,7500000,25
Kevin Danso,75,80,7500000,23
David Martínez,75,78,7000000,24
Georgiy Bushchan,75,78,5000000,28
Glen Kamara,75,78,7500000,26
Jérémy Doku,75,85,12500000,20
Leonardo Balerdi,75,81,8000000,23
Éder Balanta,75,75,4800000,29
Ozzie Kukoč,75,82,11500000,22
Ugo Babatunde,75,75,4600000,30
Dejon Cockburn,75,75,6000000,27
Jean-Eudes Aholou,75,76,5500000,28
Georginio Rutter,75,85,12500000,20
Luiz Gustavo Dias,75,75,1900000,34
Enner Valencia,75,75,4600000,32
Gonçalo Matias Ramos,75,85,12500000,21
Victor Vinícius Coelho dos Santos,75,75,5500000,28
Lucas Olaza,75,75,5500000,27
Kévin Manuel Rodrigues,75,75,5000000,28
Krzysztof Piątek,75,76,6500000,27
Jesús Vallejo Lázaro,75,79,7000000,25
Victor Nelsson,75,81,8000000,23
Jacob Ramsey,75,85,12500000,21
Zainadine Chavango Júnior,75,75,1800000,34
Alex McCarthy,75,75,2800000,32
Antonio Villa Suárez,75,75,6000000,27
Amin Younes,75,75,5500000,28
Cristian Arango,75,76,6500000,27
Leonardo Burián,75,75,625000,38
Guus Til,75,78,7500000,24
Kevin Akpoguma,75,77,6000000,27
Daniel-Kofi Kyereh,75,78,7500000,26
Okay Yokuşlu,75,76,5500000,28
Denis Cheryshev,75,75,4700000,31
Romell Quioto,75,75,5500000,30
Jed Wallace,75,75,5500000,28
Wendell Nascimento Borges,75,75,5000000,28
Michael Ngadeu,75,75,3800000,31
Duirval Hélton Diniz Cabral,75,75,5500000,26
Alejandro Baena Rodríguez,75,82,11000000,20
Elias Thiago Petri Taffarel,75,75,6000000,26
David Turnbull,75,82,11500000,22
Ersin Destanoğlu,75,81,7500000,21
Dênis Rubens Stein Rebelo,75,75,1900000,38
Connor Roberts,75,76,6000000,26
Jordan Ayew,75,75,5500000,30
Timo Horn,75,77,4700000,29
Estevão Daniel Formoso Serpa,75,75,5500000,30
Loïs Openda,75,83,12500000,22
Thomas Foket,75,75,5500000,27
Elías Gómez,75,75,5000000,28
Ethan Pinnock,75,75,4700000,29
Bruno Martins Indi,75,75,4600000,30
Danny Ward,75,75,3800000,29
Romain Thomas,75,75,1800000,34
Rafael Jorgino Cachoira Rebelo,75,75,6000000,22
Romain Alessandrini,75,75,3600000,33
Domilson Cordeiro dos Santos,75,84,12000000,23
Ricard Puig Martí,75,83,12500000,22
João Paulo Mior,75,75,4600000,31
Nicola Sansone,75,75,5500000,30
Daniel García Carrillo,75,75,4400000,32
Jose Luís García Vayá,75,81,9000000,23
Robert Rojas,75,76,6000000,26
Tom Cairney,75,75,4600000,31
Jean Michaël Seri,75,75,5500000,30
Pierre Lees-Melou,75,75,5500000,29
Joe Aribo,75,78,7500000,25
Taxiarchis Fountas,75,76,6500000,26
Jawad El Yamiq,75,75,4600000,30
Franco Cristaldo,75,78,7500000,25
Sead Kolašinac,75,75,4900000,29
Vicente Iborra de la Fuente,75,75,1900000,34
Maximilian Eggestein,75,76,6000000,25
Jorgino Silas Ruiz Prestes,75,75,4700000,30
Kevin Vázquez Comesaña,75,75,4900000,29
Steven Zuber,75,75,5500000,30
Ryan Sessegnon,75,83,12000000,22
Lautaro Giannetti,75,77,5500000,28
Matheus Leite Nascimento,75,75,1800000,39
Anders Christiansen,75,75,4400000,32
Iván Alejo Peralta,75,75,6000000,27
Anwar El Ghazi,75,75,6000000,27
Lincoln Oliveira dos Santos,75,82,11500000,23
Munas Dabbur,75,75,5500000,30
Brendan Chardonnet,75,78,6500000,27
Youcef Atal,75,78,7000000,26
Fernando Zuqui,75,75,5500000,30
Yimmi Chará,75,75,4700000,31
Alexandru Maxim,75,75,4700000,31
Alexander Barboza,75,78,6500000,27
Tom Davies,75,78,7500000,24
Aleš Mandous,75,75,3700000,30
Sam Larsson,75,75,5500000,29
Ivan Schranz,75,75,5500000,28
Niclas Füllkrug,75,75,5500000,29
André Filipe Tavares Gomes,75,75,5500000,28
Laurent Abergel,75,75,4800000,29
Jakub Pešek,75,75,5500000,29
Anthony Losilla,75,75,1100000,36
Federico Gatti,75,81,8000000,24
Alejandro Baena Rodríguez,75,82,11000000,20
Jens Stryger Larsen,75,75,4099999,31
Samuel Sáiz Alonso,75,75,4800000,31
Tariq Lamptey,75,83,12000000,21
José Luís Mendes Andrade,75,75,4800000,31
Jesper Lindstrøm,75,84,12500000,22
Rico Henry,75,78,7000000,24
Nehuén Pérez,75,82,10500000,22
Morgan Gibbs-White,75,83,12500000,22
Daniel Santos Bragança,75,84,12500000,23
Gonzalo Higuaín,75,75,2700000,34
Andriy Lunin,75,84,11000000,23
Niklas Stark,75,77,6000000,27
Josh Brownhill,75,78,7500000,26
Omar Mascarell González,75,75,4800000,29
Iñigo Lekue Martínez,75,75,4900000,29
Pietro Beruatto,75,81,8500000,23
Davi Alexandre Parrela Ferreira,75,75,6000000,22
Alex Král,75,80,8000000,24
Ștefan Radu,75,75,1500000,35
Ruben Vargas,75,81,9000000,23
Ainsley Maitland-Niles,75,77,6500000,24
Djed Spence,75,84,12000000,21
Petr Ševčík,75,75,5500000,28
Johnny Russell,75,75,4500000,32
Malo Gusto,75,85,11500000,19
Arthur Theate,75,82,10500000,22
Abdülkadir Ömür,75,80,8500000,23
Estevão Daniel Formoso Serpa,75,75,5500000,30
Rafael Jorgino Cachoira Rebelo,75,75,6000000,22
Giuseppe Pezzella,75,77,6500000,24
Jose Luís García Vayá,75,81,9000000,23
Nahitan Nández,75,76,6500000,26
Joe Aribo,75,78,7500000,25
Ibrahima Sissoko,75,79,8000000,24
Iván Alejo Peralta,75,75,6000000,27
Simon Banza,75,78,7500000,25
Maximilian Wöber,75,80,7500000,24
Josip Juranović,75,76,6000000,26
Amine Harit,75,78,7500000,25
Felix Uduokhai,75,79,7000000,24
Ko Itakura,75,80,7500000,25
Miha Zajc,75,75,5500000,28
Lincoln Oliveira dos Santos,75,82,11500000,23
Brahian Alemán,75,75,4400000,32
Lukáš Haraslín,75,76,6500000,26
Juan Camilo Hernández Suárez,75,80,8500000,23
Andriy Yarmolenko,75,75,4500000,32
Cristian Roldan,75,75,6000000,27
Jean Paulo Fernandes Filho,75,78,5500000,26
Léandre Tawamba,75,75,4600000,32
Sander Berge,75,81,8000000,24
Alan Varela,75,85,11500000,20
Jordy Clasie,75,75,4600000,31
Diogo Filipe Rocha Costa,75,75,6000000,27
Martín Silva,75,75,625000,39
Jesús Gallardo,75,75,0,27
Walter Bou,75,75,6000000,28
Sam Johnstone,75,77,4700000,29
Cristian Ansaldi,75,75,1700000,35
Benjamin Hübner,75,75,3600000,32
Nathaniel Clyne,74,74,3100000,31
Albert Rusnák,74,74,4500000,27
Amine Adli,74,84,9500000,22
Grant Hanley,74,74,3500000,30
Ailton Diogo Coelho Barbosa,74,74,4099999,30
Dodi Lukébakio,74,77,6000000,24
Moussa Djenepo,74,78,6000000,24
Diogo Filipe Pinto Leite,74,82,8500000,23
Lucas Perrin,74,79,6000000,23
Yunus Musah,74,83,9000000,19
Marco Carnesecchi,74,82,8000000,22
Guilherme Costa Marques,74,74,3500000,31
Jesus Ferreira,74,84,9500000,21
Douglas Arthur Armeira Bahia,74,74,3600000,30
José Sand,74,74,0,41
Mattia Aramu,74,75,4900000,27
Augusto Solari,74,74,4099999,30
Ondřej Kolář,74,75,3600000,27
Sergio Álvarez Díaz,74,74,3500000,30
Gustavo Hamer,74,79,6000000,25
Luis Jesús Pérez Maqueda,74,75,4400000,27
Jack Cork,74,74,2100000,33
Francisco Casilla Cortés,74,74,475000,35
Nikola Storm,74,74,4500000,27
Bruno Henrique Corsini,74,74,2800000,32
Raúl Gudiño,74,77,4200000,26
Kauê Enaldo Lima Rodrigues,74,74,4000000,26
Alessio Castro-Montes,74,77,5500000,25
Bobby Decordova-Reid,74,74,4099999,29
Gabriel Ávalos,74,74,3600000,31
Jamiro Gregory Monteiro Alvarenga,74,74,4200000,28
Hervé Koffi,74,78,4600000,25
Leroy Fer,74,74,2800000,32
Marco Richter,74,77,6000000,24
Petros Matheus dos Santos Araujo,74,74,2600000,33
Marco André Rocha Pereira,74,74,475000,35
Cyle Larin,74,75,4900000,27
Ignacio Pussetto,74,76,5500000,26
Pedro Gallese,74,74,2100000,32
Bernardo Espinosa,74,74,2700000,32
Joris Kayembe,74,74,4099999,27
Allan-Roméo Nyom,74,74,1500000,34
Anderson Plata,74,74,3500000,31
Bautista Merlini,74,74,4600000,26
Rubén Blanco Veiga,74,78,4500000,26
Jeff Reine-Adélaïde,74,81,8500000,24
Wes Foderingham,74,74,2200000,31
Luis Rioja González,74,74,4200000,28
Vitaly Janelt,74,80,6500000,24
Richard Ofori,74,77,3900000,28
Murilo de Souza Costa,74,74,4500000,27
Adama Soumaoro,74,74,3500000,30
Jeison Murillo,74,74,3500000,30
Fernando Calero Villa,74,76,4600000,26
Maxime D'Arpino,74,76,4700000,26
Jakub Moder,74,83,9500000,23
Akim Zedadka,74,75,4400000,27
Dany Mota Carvalho,74,80,6500000,24
Dante Vanzeir,74,78,6000000,24
Robert Skov,74,75,5000000,26
Cristian Gamboa,74,74,2900000,32
Mauricio Pereyra,74,74,3300000,32
André Hahn,74,74,3600000,31
Hugo Guillamón Sammartín,74,82,9000000,22
Fernando Elton Meireles Petri,74,74,3500000,30
Xavier Chavalerin,74,74,3500000,31
Sergio Gómez Martín,74,83,9000000,21
Edon Zhegrova,74,81,8500000,23
Krépin Diatta,74,81,8500000,23
Philip Zinckernagel,74,74,4500000,27
Abel Ruiz Ortega,74,83,9500000,22
Santiago Simón,74,84,9500000,20
Yann Karamoh,74,78,6000000,23
Adam Armstrong,74,77,5500000,25
Ander Barrenetxea,74,83,9500000,20
Ola Aina,74,76,4900000,25
Jordi Masip López,74,74,1400000,33
Marlon da Silva Barbosa,74,77,4900000,26
Gauthier Gallon,74,76,3500000,29
Mykola Matvienko,74,79,5500000,26
Francisco Femenía Far,74,74,3100000,31
Adam Smith,74,74,3100000,31
Ryan Bertrand,74,74,2900000,32
Václav Pilař,74,74,2600000,33
Luka Milivojević,74,74,3000000,31
Ángel Luís Rodríguez Díaz,74,74,1800000,35
Nicola Zalewski,74,86,10000000,20
Michael Renan Dimeira Couto,74,74,4099999,30
Christian Bassogog,74,74,4700000,26
Massadio Haïdara,74,74,3700000,29
Mbaye Diagne,74,74,4099999,30
Antonee Robinson,74,77,5500000,24
Jordan Beyer,74,79,6000000,22
Yukinari Sugawara,74,78,5500000,22
Pedro Filipe Teodósio Mendes,74,74,2900000,31
Jordan Siebatcheu,74,77,5500000,26
Brian Oliván Herrero,74,74,3800000,28
André Gomes Magalhães Almeida,74,74,3100000,31
Ewerton Paixão da Silva,74,76,5500000,25
Christopher Jullien,74,74,3500000,29
Bernardo Cuesta,74,74,2700000,33
Adrian Mierzejewski,74,74,1700000,35
Martin Erlić,74,79,6000000,24
Mike Trésor,74,82,9500000,23
Diogo António Cupido Gonçalves,74,77,5500000,25
Borja Sánchez Laborde,74,75,5000000,26
José Carlos Gonçalves Rodrigues,74,74,2100000,33
Manuel Sánchez de la Peña,74,83,9000000,21
