Full Name,Overall,Potential,Value(in Euro),Age,Height(in cm),Weight(in kg),Pace Total,Shooting Total,Dribbling Total
Yann Karamoh,74,78,6000000,23,185,77,78,68,77
Adam Armstrong,74,77,5500000,25,172,69,84,75,75
Ander Barrenetxea,74,83,9500000,20,175,74,78,71,80
Ola Aina,74,76,4900000,25,184,82,83,60,73
Jordi Masip López,74,74,1400000,33,180,69,74,72,74
Marlon da Silva Barbosa,74,77,4900000,26,182,87,68,44,67
Gauthier Gallon,74,76,3500000,29,186,79,75,71,76
Mykola Matvienko,74,79,5500000,26,182,74,76,48,69
Francisco Femenía Far,74,74,3100000,31,174,61,74,57,74
Adam Smith,74,74,3100000,31,180,78,66,60,70
Ryan Bertrand,74,74,2900000,32,179,85,68,53,72
Václav Pilar,74,74,2600000,33,171,71,80,69,78
Luka Milivojevic,74,74,3000000,31,186,80,47,70,66
Ángel Luís Rodríguez Díaz,74,74,1800000,35,172,68,69,75,74
Nicola Zalewski,74,86,10000000,20,175,70,83,59,76
Michael Renan Dimeira Couto,74,74,4099999,30,167,63,86,64,78
Christian Bassogog,74,74,4700000,26,173,72,90,71,77
Massadio Haïdara,74,74,3700000,29,179,76,76,52,71
Mbaye Diagne,74,74,4099999,30,191,86,64,74,63
Antonee Robinson,74,77,5500000,24,183,70,87,47,73
Jordan Beyer,74,79,6000000,22,187,80,73,34,66
Yukinari Sugawara,74,78,5500000,22,178,68,82,53,72
Pedro Filipe Teodósio Mendes,74,74,2900000,31,186,78,59,38,61
Jordan Siebatcheu,74,77,5500000,26,191,86,67,73,71
Brian Oliván Herrero,74,74,3800000,28,177,73,74,56,69
André Gomes Magalhães Almeida,74,74,3100000,31,186,80,61,63,71
Ewerton Paixão da Silva,74,76,5500000,25,175,73,82,70,78
Christopher Jullien,74,74,3500000,29,196,88,64,50,56
Bernardo Cuesta,74,74,2700000,33,171,76,67,79,62
Adrian Mierzejewski,74,74,1700000,35,176,73,74,75,76
Martin Erlic,74,79,6000000,24,193,88,64,34,52
Mike Trésor,74,82,9500000,23,172,67,79,68,79
Diogo António Cupido Gonçalves,74,77,5500000,25,177,70,84,72,75
Borja Sánchez Laborde,74,75,5000000,26,185,80,76,69,74
José Carlos Gonçalves Rodrigues,74,74,2100000,33,182,67,72,59,69
Manuel Sánchez de la Peña,74,83,9000000,21,171,66,72,44,68
Pedro Miguel Lopes Pereira,74,80,6000000,24,185,72,76,39,71
Christian Bernardi,74,74,3300000,32,179,72,78,72,78
Marshall Munetsi,74,79,5500000,26,188,83,58,59,69
Gonzalo Villar del Fraile,74,80,6500000,24,181,74,54,57,77
Isaac Success,74,77,5500000,26,182,90,73,71,75
Diego Lainez,74,83,9500000,22,168,58,76,64,80
Oussama Tannane,74,74,4200000,28,177,80,82,76,78
Mahdi Camara,74,78,5500000,24,178,69,63,57,71
Bamba Dieng,74,80,7000000,21,178,72,80,75,71
Jacob Rinne,74,76,3500000,29,188,86,73,72,75
Enrique Barja Afonso,74,77,5500000,25,178,69,73,66,73
Iván Piris,74,74,2200000,33,173,75,83,48,70
Cameron Carter-Vickers,74,83,8500000,24,183,92,74,26,63
Tomasz Kedziora,74,74,3800000,28,183,77,77,46,64
Giangiacomo Magnani,74,78,5000000,26,191,87,78,37,50
Mauro Pierre Cildinho Conradi,74,74,4200000,26,172,64,74,46,74
Lucas Lima Linhares,74,77,5500000,25,170,60,82,67,79
Marcelo Saracchi,74,79,6000000,24,172,68,80,63,76
Jack Stephens,74,74,3600000,28,185,75,50,42,67
Alan Soñora,74,80,6500000,23,171,65,73,66,76
Rémy Cabella,74,74,3300000,32,172,68,71,70,78
Danny da Costa,74,74,3800000,28,187,87,73,56,68
Lorenzo Reyes,74,74,3000000,31,180,85,65,59,70
Wesley Moraes Ferreira da Silva,74,78,6000000,25,191,93,65,74,70
Darko Braanac,74,74,4000000,30,178,73,49,70,71
Alexis Claude-Maurice,74,77,5500000,24,175,64,80,71,79
Raoul Bellanova,74,82,9000000,22,188,78,87,32,68
Andreaw Gravillon,74,78,5500000,24,185,80,59,42,55
Anthony Elanga,74,85,9500000,20,178,75,88,66,75
Arnaud Souquet,74,74,3600000,30,179,74,66,59,71
Jonathan Osorio,74,74,4000000,30,175,68,61,69,76
Umut Bozok,74,77,5500000,25,178,75,78,73,74
Silvan Hefti,74,79,6000000,24,183,80,77,49,66
Joaquín Fernández Moreno,74,79,5500000,26,190,73,64,45,55
Sebastian Szymanski,74,83,9500000,23,174,60,83,66,76
Max Aarons,74,79,6000000,22,171,69,80,42,75
Dániel Gazdag,74,77,5500000,26,178,76,76,73,76
Mariano Díaz Mejía,74,74,4300000,28,180,76,74,76,71
Alexander Hack,74,75,4000000,28,193,88,66,34,53
Serdar Aziz,74,74,2900000,31,183,81,69,32,55
David Zima,74,81,8000000,21,190,80,74,38,63
Reggie Cannon,74,80,6000000,24,180,74,91,36,69
Halil Akbunar,74,74,4200000,28,167,68,84,67,76
Nemanja Radonjic,74,75,5000000,26,185,76,88,71,74
Lassina Traoré,74,84,9500000,21,182,90,78,72,69
Borja García Freire,74,74,3500000,31,175,72,73,69,74
André Filipe Brás André,74,74,3300000,32,174,70,64,69,75
Kenny Tete,74,76,4800000,26,180,71,75,47,68
Manuel Gulde,74,74,2900000,31,184,80,69,40,57
Lucas Pratto,74,74,2100000,34,188,91,70,74,69
Gastón Giménez,74,74,3500000,30,188,82,64,61,73
Luciano Vietto,74,74,4200000,28,174,73,76,70,78
Enzo Roco,74,74,3500000,29,192,79,32,41,58
Dimitry Bertaud,74,79,5000000,24,180,85,74,69,77
Jonjoe Kenny,74,75,4600000,25,176,67,70,49,70
Gerrit Holtmann,74,74,4500000,27,185,77,94,67,73
Chris Führich,74,78,6000000,24,181,70,83,68,75
Dimitrios Siovas,74,74,2000000,33,191,83,33,44,60
Antonio Mirante,74,74,475000,38,193,79,71,73,74
Nicholas Williams Arthuer,74,86,10000000,19,181,67,91,67,77
Falaye Sacko,74,75,4400000,27,179,68,92,45,72
Mikel Vesga Arruti,74,74,4099999,29,191,84,41,63,66
José Devecchi,74,77,4200000,26,188,83,74,71,76
Dani de Wit,74,77,6000000,24,183,76,67,74,70
Daniel Cárdenas Líndez,74,79,4900000,25,186,80,76,69,79
José Henrique da Silva Dourado,74,74,3400000,32,186,80,72,75,66
Stefan Schwab,74,74,3500000,31,183,77,63,71,72
Haris Belkebla,74,75,4099999,28,177,68,55,49,70
Ozan Tufan,74,75,4800000,27,185,88,79,73,75
Ben Johnson,74,82,9000000,22,180,69,76,38,67
Gonzalo Melero Manzanares,74,74,4200000,28,183,77,53,75,70
Ezgjan Alioski,74,74,3600000,30,172,63,78,72,73
Khaled Narey,74,74,4500000,27,180,75,82,67,75
Lino Francisco Essier Simão,74,74,3500000,30,183,77,67,45,66
Rob Dickie,74,77,4900000,26,195,74,61,45,59
Gérson Adriano Damesio Figueiras,74,74,3500000,30,182,80,51,42,57
Rodrigo Battaglia,74,74,4000000,30,187,79,60,65,70
Tiago Manuel Dias Correia,74,74,3500000,31,190,83,82,77,72
Florian Niederlechner,74,74,3600000,31,187,86,68,75,73
Mateusz Klich,74,74,3300000,32,183,82,65,71,72
Jaume Doménech Sánchez,74,74,2200000,31,185,73,71,74,75
Aitor Ruibal García,74,75,5000000,26,176,75,85,73,74
Nampalys Mendy,74,74,3500000,30,167,73,60,54,75
Morgan Schneiderlin,74,74,2800000,32,186,79,45,58,70
Nikola Kalinic,74,74,2100000,34,187,79,62,74,72
Ibrahima Diallo,74,82,9000000,23,179,68,65,48,70
Lucas Hoyos,74,74,1400000,33,183,76,79,69,80
Pablo Piatti,74,74,2600000,33,163,63,77,73,75
Maxim Leitsch,74,79,6000000,24,189,83,82,37,58
Mathias Jensen,74,77,5500000,26,180,68,67,62,72
Ibrahim Traoré,74,74,2100000,33,186,80,60,65,73
Christian Kouamé,74,79,6500000,24,185,70,83,71,74
Colin Dagba,74,77,5500000,23,170,62,77,56,74
Jakub Brabec,74,74,0,29,186,77,68,51,63
Kevin Dawson,74,74,2800000,30,179,81,73,72,73
Timothy Weah,74,81,8500000,22,185,66,86,71,75
Bruno Zuculini,74,74,3600000,29,182,77,69,65,70
Nico Schulz,74,74,3700000,29,181,83,85,46,67
Marco van Ginkel,74,74,4099999,29,186,82,58,74,73
Lukas Kübler,74,74,3700000,29,182,74,75,46,64
Ivo Grbic,74,78,4500000,26,195,93,75,70,75
Enzo Díaz,74,77,5000000,26,175,74,73,49,72
Eltildo Lucas Correia Pitta,74,74,3500000,30,188,78,56,50,51
Carlos Fernández Luna,74,76,5500000,26,186,71,67,76,74
Kevin-Prince Boateng,74,74,1700000,35,186,77,48,74,77
Otávio Alberto Cairinho Monteiro,74,74,3500000,30,179,80,58,50,53
Jaïro Riedewald,74,75,4500000,25,182,79,60,56,69
Moisés Lima Magalhães,74,74,1400000,34,184,76,70,74,71
Paulo Victor Mileo Vidotti,74,74,475000,35,187,82,69,70,78
Caio Rodrigo Nunes Anjos,74,74,4400000,22,185,85,59,50,59
Alexis Castro,74,74,4500000,27,183,71,77,72,76
Brice Samba,74,77,3900000,28,186,79,75,73,74
Armando Izzo,74,74,3500000,30,183,81,67,33,65
Robson Tony Denho Serra,74,74,3500000,30,181,78,64,59,63
Yoel Rodríguez Oterino,74,74,1400000,33,186,78,74,73,71
Mihailo Ristic,74,77,5000000,26,180,79,75,61,73
Themba Zwane,74,74,3300000,32,176,69,78,68,76
Karim Onisiwo,74,74,4099999,30,188,88,80,70,73
Karol Linetty,74,75,4800000,27,176,73,64,63,75
Sergio Barreto,74,79,6000000,23,183,77,76,30,51
Oswaldo Germano Cuba Correia,74,74,4200000,26,170,68,88,68,76
Danilho Doekhi,74,80,6000000,24,190,86,56,42,64
Guido Herrera,74,75,3200000,30,187,67,74,72,75
Phillipp Mwene,74,74,3800000,28,172,68,79,50,74
Leonardo Gil,74,74,3500000,31,171,69,63,65,72
Todd Cantwell,74,77,6000000,24,177,70,73,67,76
Haris Hajradinovic,74,74,4200000,28,178,74,75,67,76
Nicholas Júlio Aldair Leal,74,74,4099999,30,187,81,67,75,72
Makoto Hasebe,74,74,750000,38,180,72,52,51,70
Imrân Louza,74,79,6500000,23,178,65,61,64,76
Bruno Miguel Semedo Varela,74,76,3900000,27,191,88,74,70,78
Sean Longstaff,74,80,6500000,24,180,65,61,65,72
Cristian Pellerano,74,74,0,40,184,79,52,65,61
Allan McGregor,74,74,475000,40,183,74,73,73,74
Anthony Moris,74,74,2100000,32,186,75,74,71,75
Óscar Valentín Martín Luengo,74,75,4300000,27,177,72,63,45,63
Ryota Morioka,74,74,3500000,31,180,79,49,69,71
Víctor Chust García,74,83,9000000,22,184,76,69,30,51
Douglas Arthur Carvalheira Peixoto,74,74,1500000,34,174,74,90,40,71
Iñigo Ruiz de Galarreta,74,74,3700000,28,175,69,67,59,73
Wayne Hennessey,74,74,475000,35,198,90,76,74,71
Tomás Pochettino,74,74,4600000,26,180,72,71,66,76
Maarten Stekelenburg,74,74,475000,39,197,92,70,75,72
Erick Ronaldo Gameira Carvalho,74,74,4099999,30,180,76,80,75,73
Pedro Bigas Rigo,74,74,2900000,31,181,78,62,52,61
Amadou Diawara,74,77,5000000,24,183,75,57,54,75
Jason Berthomier,74,74,3300000,32,177,74,66,70,76
Aitor Cantalapiedra,74,75,5000000,26,177,67,84,70,74
Jerdy Schouten,74,77,5000000,25,185,74,62,55,72
Stefan Ristovski,74,74,3600000,30,180,72,76,61,70
Björn Engels,74,76,4500000,27,195,90,63,44,56
Jeong Ho Hong,74,74,2700000,32,186,77,76,45,57
Stefan Mitrovic,74,74,2700000,32,189,84,31,34,53
Ilie Sánchez Farres,74,74,3000000,31,180,75,50,49,69
Armand Laurienté,74,79,6500000,23,177,79,77,73,77
Juan Ramírez,74,74,4099999,29,174,72,81,67,80
Mama Samba Baldé,74,75,5000000,26,176,69,89,72,73
John Egan,74,74,3500000,29,185,75,64,46,61
Federico Fazio,74,74,1100000,35,195,85,34,40,54
Joaquín Navarro Jiménez,74,74,2900000,32,176,75,71,47,68
Jordan Larsson,74,79,6500000,25,175,68,82,73,77
Gonçalo Mendes Paciência,74,74,4600000,27,184,80,46,76,76
Ermin Bicakcic,74,74,2700000,32,185,85,44,37,48
Sandro Ramírez Castillo,74,75,5000000,26,175,71,78,74,75
Eric Curbelo de la Fe,74,75,4000000,28,177,77,82,34,64
Danilo Manuel Aldair Rochela,74,74,4099999,30,178,75,76,63,76
Adam Masina,74,74,3800000,28,191,87,72,42,68
Paulo Gazzaniga,74,74,2800000,30,196,90,76,74,77
Benjamin Chris Meseira Zonta,74,74,4200000,26,180,75,79,45,69
Felipe Rodrigues da Silva,74,84,9000000,21,192,89,67,35,61
Miguel Crespo da Silva,74,77,5500000,25,183,78,68,64,75
Sergi Enrich Ametller,74,74,3400000,32,181,77,52,73,72
Morten Thorsby,74,76,5000000,26,189,79,67,63,72
Richard Ortiz,74,74,2800000,32,174,75,73,68,72
Allan Norberto Bardini Paneira,74,74,4099999,30,175,72,65,69,77
Brenden Aaronson,74,81,8500000,21,176,66,81,66,78
André Filipe Luz Horta,74,79,6000000,25,175,62,71,69,76
Salomón Rondón,74,74,3400000,32,186,86,54,73,69
Sokratis Dioudis,74,75,3200000,29,189,75,76,72,78
Kelvin Amian,74,78,5500000,24,180,78,78,48,67
Yony González,74,74,4600000,27,184,84,93,70,71
Alexander Ring,74,74,3000000,31,175,73,68,66,73
Ricardo Rodríguez,74,74,3500000,29,182,77,67,67,75
Maurício Wilson Borghes Caeiro,74,74,3600000,30,172,71,76,63,70
Papakouli Diop,74,74,825000,36,179,77,35,66,67
Chris Richards,74,82,9000000,22,188,87,78,27,55
Jacob Rasmussen,74,78,5500000,25,190,81,50,38,63
Luká Hejda,74,74,2700000,32,189,87,61,35,61
Ashley Young,74,74,1400000,36,175,65,67,65,76
Estevão Danilo Baldeiro Lopes,74,74,4000000,26,186,85,75,56,64
Damien Da Silva,74,74,1400000,34,184,83,36,37,52
Kaoru Mitoma,74,77,5500000,25,178,71,82,69,77
Sergiy Kryvtsov,74,74,2900000,31,186,83,65,44,52
Jadson Silva de Morais,74,74,3500000,30,186,80,67,36,54
Sebastián Viera,74,74,475000,39,185,85,71,73,76
Toni unjic,74,74,2000000,33,194,93,53,40,35
Andrés Felipe Roa,74,74,4099999,29,175,67,76,67,78
Joris Chotard,74,82,8500000,20,179,70,68,54,74
Edvaldo Flávio Rebelo de Freit,74,74,3500000,30,183,71,70,56,72
Emanuel Mammana,74,75,4400000,26,183,72,77,42,71
Cican Stankovic,74,74,2900000,29,187,86,75,73,77
Shane Duffy,74,74,3500000,30,193,76,34,47,48
Brian Ocampo,74,83,9500000,23,175,74,83,67,77
Lautaro Acosta,74,74,2000000,34,169,67,82,69,76
Andreas Ulmer,74,74,925000,36,175,73,69,62,73
David von Ballmoos,74,76,3900000,27,192,90,75,75,74
Jean-Charles Castelletto,74,75,4200000,27,185,76,68,30,61
Kanya Fujimoto,74,83,9500000,23,176,68,77,70,75
Álvaro Medrán Just,74,74,4200000,28,178,71,58,67,74
Martín Cauteruccio,74,74,1800000,35,180,76,66,75,70
Enzo Copetti,74,76,5500000,26,180,88,81,72,68
Azor Matusiwa,74,78,5500000,24,173,72,56,47,69
Carlos Zambrano,74,74,2700000,32,185,77,55,48,66
Dave Bulthuis,74,74,2700000,32,192,78,60,38,53
Mërgim Vojvoda,74,74,4099999,27,187,78,69,51,71
Jonathan Schmid,74,74,3300000,32,179,79,67,64,76
José Carlos Lazo Romero,74,75,5000000,26,178,71,78,73,79
Manuel García Sánchez,74,74,1300000,36,182,74,40,68,69
Destiny Udogie,74,82,8500000,19,186,67,87,63,74
Lasse Schøne,74,74,1300000,36,178,78,36,74,75
Cláudio Pires de Morais Ramos,74,75,3200000,30,183,83,78,72,74
Filip Ugrinic,74,82,9500000,23,184,88,73,73,74
Efecan Karaca,74,74,3300000,32,166,56,78,63,76
Walace Souza Silva,74,76,4600000,27,188,75,66,65,69
Ryan Christie,74,74,4500000,27,178,71,81,71,76
Angel Gomes,74,82,9500000,21,168,56,77,70,77
Jens Petter Hauge,74,79,6500000,22,183,75,83,69,77
Andrés Eduardo Fernández Moreno,74,74,475000,35,187,82,72,70,76
Juan Cazares,74,74,4099999,30,171,70,73,68,76
Jens Jønsson,74,74,3600000,29,182,78,68,56,66
Craig Gordon,74,74,475000,39,193,83,73,72,77
Anders Dreyer,74,80,6500000,24,174,69,78,72,77
Ionu? Andrei Radu,74,77,4300000,25,188,78,78,68,79
Takefusa Kubo,74,84,9500000,21,173,67,79,65,80
Jens Toornstra,74,74,2600000,33,178,74,52,74,70
Guilherme Haubert Sityá,74,74,2900000,32,180,79,82,61,72
Pierrick Capelle,74,74,1700000,35,181,73,64,72,73
Christian Kabasele,74,74,2900000,31,188,84,63,50,59
Derlis González,74,74,4300000,28,175,75,81,75,77
Jorge Djaniny Tavares Semedo,74,74,3600000,31,190,78,79,72,75
Rafael Czichos,74,74,2700000,32,187,86,59,47,61
Joakim Nilsson,74,74,0,28,185,78,59,32,55
Éderson José dos Santos,74,80,6500000,22,183,86,70,63,75
Jay Rodriguez,74,74,3400000,32,185,84,65,76,73
Nuno Albertino Varela Tavares,74,81,8000000,22,183,75,85,52,73
Aníbal Moreno,74,82,9000000,23,178,74,73,65,74
Salvador Sánchez Ponce,74,74,3500000,31,175,64,84,64,73
Javier Manquillo Gaitán,74,74,3800000,28,178,76,69,45,72
Marco Friedl,74,78,5500000,24,187,82,67,42,67
Borja Mayoral Moya,74,79,6500000,25,182,74,66,74,74
Martín Merquelanz,74,74,4500000,27,176,72,70,77,74
Jonathan Silva,74,74,3800000,28,179,72,70,60,72
Marcus Holmgren Pedersen,74,82,9000000,22,183,76,89,48,71
Joel Ward,74,74,2900000,32,188,83,54,52,66
Serdar Dursun,74,74,4099999,30,190,80,60,74,71
Matheus Henrique de Souza,74,78,6000000,24,175,71,74,60,77
Leon Balogun,74,74,1400000,34,190,88,76,44,60
Gabriel Gudmundsson,74,82,9000000,23,180,74,86,64,73
Murilo Kaíque Sanches Cardoso,74,74,2000000,34,176,76,78,67,73
Gonzalo Piovi,74,74,4099999,27,180,72,72,53,67
Christopher Lenz,74,74,4099999,27,181,81,72,42,69
Hélder Wander Sousa Azevedo Costa,74,74,4200000,28,179,77,82,68,75
Armando Obispo,74,80,6000000,23,185,79,75,42,66
Patrick Berg,74,78,6000000,24,178,76,71,61,72
Abdülkerim Bardakci,74,75,4200000,27,190,80,50,32,57
Tim Leibold,74,74,3800000,28,174,72,78,57,75
Vinicius de Souza Costa,74,82,9000000,23,187,80,66,47,66
Paul Jaeckel,74,79,6000000,23,186,83,73,33,51
Kevin Mac Allister,74,77,5000000,24,175,72,76,54,72
Philipp Hofmann,74,74,4200000,29,195,89,51,74,63
Karol Swiderski,74,79,6500000,25,184,78,68,74,71
Marvin Plattenhardt,74,74,3600000,30,181,76,66,56,71
Jon Guridi Aldalur,74,75,4800000,27,179,70,63,64,77
Nikola Moro,74,81,8000000,24,185,77,71,70,73
Luca Kilian,74,80,6000000,22,192,91,70,37,54
Calvin Bassey,74,84,9000000,22,185,76,83,44,69
Nils Petersen,74,74,2700000,33,188,84,52,77,65
Nilson Leôncio Alfaro Soares,74,74,475000,38,190,89,68,71,77
Arijan Ademi,74,74,3500000,31,185,79,65,65,71
Bright Osayi-Samuel,74,79,6000000,24,175,74,94,59,78
Diego Valoyes,74,75,5000000,25,181,76,88,69,74
Juan Angulo,74,74,2200000,33,178,78,71,59,68
Ezequiel Ponce,74,79,6500000,25,180,80,76,73,74
Khama Billiat,74,74,3600000,31,170,60,85,74,78
Gian Marco Ferrari,74,74,3500000,30,189,82,50,28,50
Mostafa Mohamed,74,81,8500000,24,185,78,70,74,69
Youssef Maleh,74,80,6500000,23,177,74,69,67,76
Branco van den Boomen,74,75,4900000,26,188,75,62,73,70
Lewis Cook,74,78,6000000,25,175,71,60,63,77
Razvan Marin,74,76,5000000,26,178,75,68,73,74
Luká Masopust,74,74,4099999,29,179,76,84,65,75
Elias Thiago Fontoira Marques,74,74,4099999,26,186,74,69,69,73
Kévin Malcuit,74,74,3600000,30,178,77,75,62,74
Luigi Sepe,74,74,2200000,31,185,75,74,71,76
Ryan Jack,74,74,4000000,30,182,72,62,67,72
Marin Pongracic,74,78,5500000,24,193,97,68,26,63
Emil Krafth,74,74,4099999,27,184,83,65,58,70
Amadou Onana,74,84,8500000,20,195,76,74,59,71
Samuele Ricci,74,85,8500000,20,178,72,74,55,71
Almamy Touré,74,76,4600000,26,183,81,80,58,72
Jordan Amavi,74,74,3800000,28,176,70,73,61,70
Nicolas Cozza,74,81,8000000,23,178,72,75,41,69
Jakub Jankto,74,75,5000000,26,184,74,73,71,74
Maxime Crépeau,74,77,3900000,28,180,88,72,70,75
Rani Khedira,74,75,4099999,28,189,86,58,43,61
Adam Maher,74,74,3700000,28,174,76,67,70,76
Nuno Miguel Valente Santos,74,81,8500000,23,179,73,80,69,73
Yan Brice Eteki,74,80,6000000,24,182,76,58,55,70
Mikael Uhre,74,75,4900000,27,188,86,89,73,70
Jan Kopic,74,74,3300000,32,179,81,76,71,75
Diego Hugo Ramos Calado,74,74,4099999,30,185,80,30,79,67
Anaitz Arbilla Zabala,74,74,1100000,35,178,76,53,57,66
Tokmac Chol Nguen,74,74,4200000,28,174,60,87,71,79
Matija Nastasic,74,74,3500000,29,188,83,62,36,55
Freddie Woodman,74,79,4900000,25,188,83,75,69,75
Milan Havel,74,74,4099999,27,183,77,67,51,68
Leonel Vangioni,74,74,1300000,35,181,68,77,63,70
Axel Tuanzebe,74,78,5500000,24,185,75,81,36,68
Petar Musa,74,81,8500000,24,190,82,83,72,71
Alejandro Centelles Plaza,74,81,8000000,22,185,73,78,52,71
Oumar Solet,74,83,9000000,22,192,81,83,43,67
Maximilian Mittelstädt,74,77,5000000,25,180,71,77,61,74
Joe Worrall,74,80,6000000,25,190,90,57,25,45
Santiago Ascacíbar,74,78,5500000,25,168,70,69,47,69
Bart Ramselaar,74,75,5000000,26,178,74,84,71,76
Sung Yueng Ki,74,74,2100000,33,189,75,46,67,69
Genki Haraguchi,74,74,3500000,31,178,72,76,65,78
Patrik Hroovský,74,74,4000000,30,173,70,67,71,75
Milot Rashica,74,75,5000000,26,177,73,81,74,77
Elye Wahi,74,84,9000000,19,184,74,82,73,76
Japhet Tanganga,74,82,9000000,23,180,73,75,33,71
Massimo Coda,74,74,2700000,33,184,73,60,75,71
Faïz Selemani,74,74,4200000,28,182,65,83,73,75
Vinicius Lúcio Cardenha Caeiro,74,74,3600000,30,179,73,73,49,68
Francisco Reis Ferreira,74,78,5500000,25,191,78,52,43,60
Enzo Wellington Marteiro Santoso,74,74,2800000,30,191,80,82,73,69
Christian Benteke,74,74,3600000,31,190,83,50,74,68
Ivan Radovanovic,73,73,1500000,33,187,80,47,60,66
Nicolai Vallys,73,74,3600000,25,189,82,81,66,72
Thomas Delaine,73,73,2600000,30,180,71,83,50,72
Jubal Rocha Mendes Júnior,73,74,2900000,28,190,80,51,34,55
Henrique Silva Milagres,73,73,2800000,28,173,72,77,45,71
Jonathan Rodríguez Menéndez,73,73,2900000,30,179,71,83,68,73
Illia Zabarnyi,73,83,6000000,19,186,81,66,36,58
Luca Garritano,73,73,3100000,28,172,67,89,70,74
Manuel Vallejo Galván,73,78,4500000,25,167,72,74,74,75
Rominigue Kouamé,73,77,4200000,25,177,68,69,54,74
Renaud Ripart,73,73,3000000,29,181,73,69,74,71
Tobias Strobl,73,73,2000000,32,188,77,34,49,57
Rafael Delgado,73,73,2000000,32,178,70,82,65,74
Shkodran Mustafi,73,73,2500000,30,184,83,53,57,59
Sergio Peña,73,76,4000000,26,178,70,66,68,75
Georgios Giakoumakis,73,74,3600000,27,185,84,70,73,66
Andreas Weimann,73,73,3000000,30,178,76,82,72,71
Darren Randolph,73,73,350000,35,188,78,75,71,74
Sean Davis,73,73,2600000,29,183,75,68,58,69
Jorge Broun,73,73,350000,36,190,92,70,67,75
Maxime Dupé,73,75,2500000,29,188,88,74,72,75
Steven Caulker,73,73,2500000,30,191,76,55,30,53
Cenk Tosun,73,73,2600000,31,183,78,59,75,71
Ramiz Zerrouki,73,78,4600000,24,183,72,73,64,73
Martín Cáceres,73,73,800000,35,181,78,68,51,68
Juan Cruz Komar,73,78,4000000,25,190,82,66,36,54
Arbër Zeneli,73,73,3200000,27,176,72,74,70,76
Serdar Gürler,73,73,2900000,30,175,65,81,66,75
Thomas Nicolas Silva Rangel,73,73,3000000,26,177,73,65,54,64
Nathan Walter Neves Bessa,73,73,3600000,22,170,70,63,71,72
Ridgeciano Haps,73,73,2700000,29,175,66,85,63,74
Jefferson Savarino,73,76,4000000,25,169,66,82,70,77
Lassana Coulibaly,73,76,3600000,26,183,77,72,58,72
Liel Abada,73,81,6500000,20,165,67,83,72,73
Matthew Lowton,73,73,1600000,33,181,78,62,60,71
Joël Piroe,73,80,6000000,22,185,74,66,75,68
Raúl Loaiza,73,73,2700000,28,180,70,57,46,66
Jorge Cuenca Barreno,73,82,6500000,22,190,75,60,37,52
Chris Basham,73,73,1500000,33,190,80,53,43,63
Romain Hamouma,73,73,1300000,35,178,76,68,75,77
Cristiano Piccini,73,73,2700000,29,189,79,71,42,70
Steven Davis,73,73,950000,37,173,70,36,63,74
Dániel Sallói,73,74,3600000,25,185,68,75,75,73
Fábio Leandro Carvalho,73,86,7000000,19,175,66,78,68,75
Paddy McNair,73,76,3500000,27,183,72,62,62,68
Nicolás Figal,73,74,2900000,28,181,64,73,43,68
Julien Laporte,73,74,2900000,28,185,82,44,29,49
Mario González Gutiérrez,73,76,4000000,26,183,77,71,72,73
Youssouf M'Changama,73,73,2500000,31,175,69,86,71,74
Márcio Anderson Tramontino Sá,73,73,3000000,26,175,71,66,50,67
Didier Lamkel Zé,73,76,4099999,25,192,79,82,75,74
Brandon Williams,73,78,4400000,21,182,63,79,56,72
José Ignacio Martínez García,73,73,1600000,33,174,64,76,56,68
Ethan Ampadu,73,80,6000000,21,183,78,65,49,69
Luka Sucic,73,84,6500000,19,185,71,75,70,75
Nicolò Fagioli,73,85,7500000,21,178,72,73,62,77
Stéphane Bahoken,73,73,3000000,30,185,88,73,72,71
Robin Lod,73,73,3000000,29,181,82,72,73,73
Leonardo Luis Sandelas Junior,73,73,2500000,30,183,78,61,53,64
Oliver Abildgaard,73,76,3600000,26,192,86,64,62,68
Taras Kacharaba,73,73,2800000,27,189,79,71,34,59
Valerio Verre,73,73,3100000,28,181,70,69,73,74
Dennis Appiah,73,73,2600000,30,179,68,71,39,65
Mamadou Loum,73,78,4099999,25,188,80,43,53,63
Reiss Nelson,73,80,6000000,22,175,71,86,64,77
Claudio Bravo,73,77,3900000,25,170,68,77,48,72
Simone Romagnoli,73,73,2000000,32,193,85,61,40,56
Jeff Nazario Meire Costinho,73,73,2600000,30,179,77,72,50,60
David Costas Cordal,73,75,3200000,27,181,73,76,45,64
Paulo Victor da Silva,73,74,3200000,27,178,71,85,65,71
Miles Robinson,73,80,5500000,25,188,84,83,35,67
Leonardo Duarte da Silva,73,77,3800000,25,183,79,55,36,59
Rubén Castro Martín,73,73,0,41,169,68,70,77,74
Jack Hendry,73,76,3500000,27,194,88,71,56,62
Mert Hakan Yandas,73,73,3200000,27,174,70,68,70,73
Antonio José Raíllo Arenas,73,73,2500000,30,187,80,49,36,54
Min Kyu Joo,73,73,2500000,32,183,79,66,75,69
Jan Thielmann,73,82,6500000,20,178,72,81,69,72
Ondrej Duda,73,74,3500000,27,181,75,69,71,78
Hernani Azevedo Júnior,73,73,3000000,28,188,77,65,69,72
Armel Bella Kotchap,73,83,6000000,20,190,87,82,25,51
